epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.64096,1.43775,2.83904,1.42117,0.00988,0.23246,0.01042,0.00625,1.40306,58.6577,1.34883,0.00023338,0.00023338,0.00023338
2,17.4146,1.50288,2.36884,1.52736,0.15617,0.51329,0.21914,0.10175,1.75504,inf,1.8887,0.0004834,0.0004834,0.0004834
3,25.6096,1.52106,1.92903,1.52263,0.01053,0.20654,0.00859,0.00406,3.5289,inf,32.9317,0.000733301,0.000733301,0.000733301
4,33.5143,1.53004,2.23529,1.55023,0.00147,0.2193,0.00127,0.00053,nan,nan,nan,0.00098299,0.00098299,0.00098299
5,41.2647,1.57535,1.71056,1.65007,0.00099,0.29386,0.0009,0.00023,nan,nan,nan,0.00123238,0.00123238,0.00123238
6,48.9829,1.7696,2.28603,1.74081,0.00016,0.04825,0.00011,2e-05,nan,nan,nan,0.00148137,0.00148137,0.00148137
7,56.6492,1.75264,1.95499,1.88122,0,0,0,0,nan,nan,nan,0.00166334,0.00166334,0.00166334
8,64.2721,1.81134,2.27803,1.78417,2e-05,0.00505,1e-05,0,nan,nan,nan,0.00166202,0.00166202,0.00166202
9,71.9438,1.6764,1.76134,1.74601,0,0,0,0,nan,nan,nan,0.00166049,0.00166049,0.00166049
10,79.614,1.72952,1.56007,1.68259,0.17539,0.10247,0.04298,0.02413,3.62189,nan,4.69549,0.00165877,0.00165877,0.00165877
11,87.1556,1.713,1.60373,1.73473,0,0,0,0,nan,nan,nan,0.00165684,0.00165684,0.00165684
12,94.7878,1.6681,1.51397,1.71442,0.00148,0.24123,0.00115,0.00043,nan,nan,nan,0.00165471,0.00165471,0.00165471
13,102.467,1.62663,1.33901,1.62173,0.00032,0.00439,0.00016,2e-05,nan,nan,nan,0.00165238,0.00165238,0.00165238
14,110.051,1.46857,1.31951,1.53416,0.26927,0.12267,0.09621,0.04762,3.36953,4.84744,3.73624,0.00164986,0.00164986,0.00164986
15,117.68,1.5035,1.20877,1.55121,0.05803,0.01754,0.01416,0.00722,4.08459,116.426,9.10121,0.00164713,0.00164713,0.00164713
16,125.33,1.54852,1.10987,1.51918,0.05559,0.06167,0.01019,0.0034,3.97739,97.2382,5.51679,0.0016442,0.0016442,0.0016442
17,133.011,1.48027,1.09265,1.51046,0.2583,0.07111,0.0341,0.01557,4.45223,inf,14.4829,0.00164108,0.00164108,0.00164108
18,140.601,1.43429,1.03879,1.45377,0.18521,0.1143,0.07134,0.0495,2.93677,inf,3.03188,0.00163775,0.00163775,0.00163775
