epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.805,1.90767,2.72305,1.98159,0.76829,0.04081,0.01144,0.00397,2.80118,6.53021,3.63798,0.00041403,0.00041403,0.00041403
2,300.195,2.02835,2.36887,2.13725,0.27974,0.04143,0.01498,0.00423,3.11306,3.84686,3.41485,0.000823843,0.000823843,0.000823843
3,445.257,2.05359,2.39024,2.16143,0.04746,0.02963,0.01757,0.00567,2.8709,4.62958,3.33956,0.00122678,0.00122678,0.00122678
4,590.869,1.9996,2.34181,2.12152,0.30592,0.06298,0.03885,0.01369,2.47246,3.18017,2.8344,0.00121906,0.00121906,0.00121906
5,738.301,1.94939,2.22262,2.06677,0.33764,0.07357,0.06054,0.02251,2.37827,3.11828,2.71966,0.00120875,0.00120875,0.00120875
6,884.417,1.86823,2.11423,2.00593,0.08338,0.08393,0.06005,0.02154,2.42913,3.10578,2.83048,0.00119844,0.00119844,0.00119844
7,1029.65,1.84799,1.99388,1.97813,0.11219,0.08835,0.08258,0.03246,2.42856,2.7125,2.72524,0.00118812,0.00118812,0.00118812
8,1176.93,1.80956,1.91902,1.92389,0.09921,0.08919,0.07509,0.02834,2.31566,2.69112,2.65874,0.00117781,0.00117781,0.00117781
9,1319.8,1.70603,1.82714,1.85558,0.12537,0.09187,0.0885,0.03404,2.30332,2.80712,2.61261,0.0011675,0.0011675,0.0011675
10,1462.97,1.70797,1.74762,1.84569,0.13074,0.1043,0.09877,0.03858,2.22684,2.74655,2.52958,0.00115719,0.00115719,0.00115719
11,1611.07,1.68225,1.67733,1.82653,0.12541,0.10559,0.09811,0.03937,2.16539,2.82821,2.51343,0.00114688,0.00114688,0.00114688
12,1761.69,1.67872,1.64569,1.81875,0.11738,0.11015,0.09949,0.03879,2.20672,2.56005,2.53021,0.00113656,0.00113656,0.00113656
13,1905.84,1.6661,1.60112,1.79058,0.12666,0.09879,0.09709,0.03869,2.21723,2.64834,2.52824,0.00112625,0.00112625,0.00112625
14,2048.09,1.63908,1.58572,1.7798,0.12986,0.10585,0.10281,0.04199,2.18462,2.67991,2.48677,0.00111594,0.00111594,0.00111594
15,2190.48,1.64444,1.55009,1.78489,0.13835,0.11467,0.1093,0.04482,2.14878,2.70617,2.48771,0.00110563,0.00110563,0.00110563
16,2332.54,1.62762,1.5104,1.76336,0.14771,0.11147,0.11502,0.05092,2.15795,2.73255,2.43901,0.00109531,0.00109531,0.00109531
17,2475.21,1.58328,1.43592,1.72631,0.14756,0.11449,0.11583,0.0506,2.1293,2.53136,2.43253,0.001085,0.001085,0.001085
18,2617.18,1.60224,1.4642,1.74514,0.39858,0.1186,0.1211,0.05026,2.14606,2.53614,2.47858,0.00107469,0.00107469,0.00107469
19,2759.11,1.56479,1.38116,1.6956,0.14474,0.12412,0.12115,0.05155,2.21317,2.56816,2.5318,0.00106437,0.00106437,0.00106437
20,2902.44,1.56541,1.39281,1.69593,0.14774,0.12338,0.11746,0.05211,2.24371,2.56969,2.49808,0.00105406,0.00105406,0.00105406
21,3045.96,1.5354,1.34927,1.67439,0.16384,0.12985,0.12647,0.05412,2.16684,2.62493,2.43219,0.00104375,0.00104375,0.00104375
