epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.356,1.56056,1.78567,1.67564,0.54842,0.37197,0.40238,0.19851,1.88492,1.88361,1.86478,0.00047548,0.00047548,0.00047548
2,260.763,1.6822,1.74694,1.76522,0.83885,0.36742,0.42166,0.19684,1.86508,1.64165,1.87318,0.00094239,0.00094239,0.00094239
3,386.234,1.65149,1.6815,1.73288,0.81929,0.35937,0.42572,0.20279,1.82929,1.61817,1.89967,0.00139987,0.00139987,0.00139987
4,512.324,1.59271,1.59051,1.7018,0.75583,0.41581,0.44364,0.22841,1.70814,1.51937,1.75004,0.00138656,0.00138656,0.00138656
5,638.904,1.51563,1.49056,1.64328,0.82261,0.45466,0.49146,0.26083,1.60196,1.31955,1.65703,0.00137241,0.00137241,0.00137241
6,766.125,1.50227,1.42807,1.63501,0.77544,0.47147,0.46614,0.25108,1.57046,1.31296,1.61949,0.00135826,0.00135826,0.00135826
7,893.23,1.45355,1.36006,1.58977,0.83738,0.46259,0.52376,0.2586,1.70643,1.28789,1.71643,0.00134412,0.00134412,0.00134412
8,1025.63,1.42185,1.31191,1.55721,0.73247,0.50596,0.54107,0.28568,1.52492,1.22384,1.58702,0.00132997,0.00132997,0.00132997
9,1166.16,1.37861,1.23779,1.53332,0.87051,0.50055,0.56995,0.30406,1.52896,1.11114,1.55907,0.00131582,0.00131582,0.00131582
10,1299.83,1.36432,1.1865,1.50594,0.88391,0.512,0.58118,0.31699,1.48411,1.12401,1.52269,0.00130168,0.00130168,0.00130168
11,1434.07,1.3487,1.1772,1.50369,0.61602,0.59803,0.58935,0.32115,1.41805,1.08288,1.50282,0.00128753,0.00128753,0.00128753
12,1563.18,1.31657,1.14919,1.48076,0.56601,0.59198,0.5688,0.29113,1.66116,1.13745,1.65357,0.00127338,0.00127338,0.00127338
13,1692.52,1.32244,1.13696,1.48133,0.68524,0.55998,0.60883,0.32167,1.57548,1.07932,1.55353,0.00125923,0.00125923,0.00125923
14,1824.48,1.29248,1.09909,1.45233,0.62769,0.58377,0.59746,0.33355,1.42759,1.04661,1.50454,0.00124509,0.00124509,0.00124509
15,1957.88,1.28058,1.04593,1.4351,0.71183,0.56953,0.618,0.3428,1.4617,1.01226,1.48731,0.00123094,0.00123094,0.00123094
16,2091.21,1.26482,1.04901,1.44065,0.67343,0.6217,0.62652,0.35012,1.3569,1.01085,1.43707,0.00121679,0.00121679,0.00121679
17,2223.86,1.2566,1.0392,1.43502,0.7447,0.62289,0.65352,0.3499,1.51023,0.97971,1.51314,0.00120265,0.00120265,0.00120265
18,2355.09,1.24914,1.00449,1.42262,0.70012,0.60411,0.62532,0.34678,1.44367,0.96885,1.48545,0.0011885,0.0011885,0.0011885
19,2485.83,1.25081,0.98313,1.41228,0.69607,0.65282,0.65058,0.37636,1.31497,0.96608,1.40583,0.00117435,0.00117435,0.00117435
20,2626.3,1.21455,0.98141,1.39451,0.66847,0.6382,0.63163,0.34629,1.45952,0.99443,1.47417,0.00116021,0.00116021,0.00116021
21,2766.29,1.22354,0.96114,1.38804,0.71623,0.59522,0.63642,0.34776,1.48463,0.9886,1.51034,0.00114606,0.00114606,0.00114606
22,2906.61,1.22634,0.95963,1.39734,0.74596,0.57297,0.63893,0.34432,1.45036,0.96846,1.48198,0.00113191,0.00113191,0.00113191
23,3046.11,1.20746,0.95691,1.38964,0.66434,0.65324,0.64951,0.37334,1.37239,0.95433,1.44572,0.00111776,0.00111776,0.00111776
24,3181.35,1.20024,0.95964,1.38833,0.73827,0.63352,0.67424,0.38635,1.36944,0.89149,1.41044,0.00110362,0.00110362,0.00110362
25,3314.08,1.18284,0.9099,1.36751,0.72619,0.65679,0.69084,0.36559,1.47754,0.91172,1.48659,0.00108947,0.00108947,0.00108947
26,3445.72,1.18931,0.90463,1.37428,0.69913,0.63557,0.6723,0.38312,1.3714,0.91658,1.4352,0.00107532,0.00107532,0.00107532
27,3577.79,1.17901,0.90268,1.3736,0.66281,0.66688,0.6619,0.37684,1.34279,0.88405,1.41556,0.00106118,0.00106118,0.00106118
28,3710.01,1.16605,0.87819,1.35508,0.71292,0.66478,0.67888,0.38984,1.34672,0.89178,1.41889,0.00104703,0.00104703,0.00104703
29,3841.95,1.16428,0.88185,1.35601,0.74762,0.6506,0.66491,0.38098,1.37335,0.89318,1.43298,0.00103288,0.00103288,0.00103288
30,3972.91,1.15417,0.86174,1.3471,0.77441,0.64368,0.68882,0.37886,1.48741,0.88285,1.48917,0.00101873,0.00101873,0.00101873
31,4099.74,1.15289,0.83918,1.34602,0.70036,0.65175,0.67106,0.37828,1.39188,0.86535,1.45711,0.00100459,0.00100459,0.00100459
32,4226.06,1.14662,0.85356,1.34971,0.73356,0.68787,0.70119,0.40473,1.32078,0.84302,1.38817,0.00099044,0.00099044,0.00099044
33,4352.23,1.12098,0.82466,1.33166,0.68838,0.67672,0.68587,0.38962,1.38898,0.86576,1.42508,0.000976293,0.000976293,0.000976293
34,4478.29,1.12929,0.83688,1.33577,0.69929,0.67212,0.68224,0.38849,1.38735,0.86672,1.42936,0.000962146,0.000962146,0.000962146
35,4603.78,1.13373,0.82154,1.33244,0.72547,0.67573,0.69332,0.39651,1.36663,0.84502,1.39242,0.000947999,0.000947999,0.000947999
36,4729.66,1.10901,0.79867,1.32113,0.70657,0.69089,0.69531,0.39872,1.38301,0.82439,1.41153,0.000933851,0.000933851,0.000933851
37,4855.61,1.111,0.798,1.31721,0.72824,0.70285,0.71016,0.42151,1.25828,0.81686,1.34155,0.000919704,0.000919704,0.000919704
38,4982.07,1.12002,0.81611,1.32401,0.7495,0.67871,0.71844,0.41248,1.38985,0.84118,1.42334,0.000905557,0.000905557,0.000905557
39,5108.08,1.09072,0.79134,1.30821,0.81075,0.6538,0.71153,0.41507,1.30079,0.79251,1.37407,0.00089141,0.00089141,0.00089141
40,5233.99,1.08908,0.76769,1.2991,0.77571,0.70029,0.72053,0.41439,1.35126,0.78964,1.39222,0.000877263,0.000877263,0.000877263
41,5359.51,1.08993,0.76431,1.30278,0.72744,0.69789,0.71243,0.41769,1.33317,0.8043,1.39729,0.000863116,0.000863116,0.000863116
42,5485.59,1.08498,0.76417,1.30663,0.77488,0.68493,0.71334,0.43324,1.25269,0.78817,1.33687,0.000848969,0.000848969,0.000848969
43,5612.61,1.06297,0.74983,1.28571,0.75939,0.694,0.70136,0.41083,1.30937,0.79105,1.36531,0.000834822,0.000834822,0.000834822
44,5738.95,1.07257,0.75266,1.28849,0.7431,0.70301,0.72241,0.42358,1.3006,0.77572,1.37026,0.000820675,0.000820675,0.000820675
45,5864.83,1.07169,0.74172,1.28951,0.75423,0.70875,0.71794,0.43361,1.28173,0.78579,1.35026,0.000806528,0.000806528,0.000806528
46,5991.28,1.05496,0.75069,1.28759,0.73529,0.71028,0.72789,0.44207,1.25464,0.78005,1.34775,0.00079238,0.00079238,0.00079238
47,6117.47,1.05072,0.74242,1.28021,0.78125,0.70828,0.71452,0.42814,1.25123,0.77706,1.34408,0.000778233,0.000778233,0.000778233
